Restaurant_id,name,urls,ratings,price for one,cuisine
R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250,"Arabian, Biryani, North Indian, Chinese, Fast Food, Sichuan"
R1,Hotel Revoli Inn,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order,3.9,250,"Chinese, North Indian, Mughlai"
R2,Bakingo,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order,4.2,250,"Bakery, Desserts"
R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts"
R4,McDonald's,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,3.9,250,"Burger, Fast Food"
R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250,"North Indian, Rajasthani, Fast Food, Mithai, Beverages, Desserts"
R6,Salt - Indian Restaurant Bar & Grill,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-lavelle-road-bangalore/order,4.1,250,"North Indian, BBQ, Biryani, Mughlai, Seafood, Beverages, Desserts"
R7,Sultan - Palace Darbar Restaurant,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order,3.4,250,"North Indian, Chinese, Arabian, Mughlai"
R8,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,3.9,250,"Pizza, Italian, Pasta, Fast Food, Desserts"
R9,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,3.8,200,"Pizza, Fast Food, Desserts, Beverages"
R10,KFC,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,3.7,200,"Burger, Fast Food, Biryani, Desserts, Beverages"
R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages"
R12,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,4,200,"Burger, Fast Food, Desserts, Beverages"
R13,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,4.3,200,"Biryani, Andhra, North Indian, Seafood"
R14,Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,3.9,200,"Fast Food, Rolls, Burger"
R15,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,4.5,200,"Mithai, Desserts, Street Food"
R16,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,4.2,200,"Burger, Fast Food, Wraps, Street Food, Beverages"
R17,Onesta,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,4,200,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages"
