Restaurant_id,Name,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
R0,Le Arabia Restaurant,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
R1,Hotel Revoli Inn,1862,"Shanti Nagar, Bangalore",12.95597678,77.59207126
R2,Bakingo,748,"Vasanth Nagar, Bangalore",12.9944153,77.5938201
R3,Truffles,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
R4,McDonald's,5809,"MG Road, Bangalore",12.97602152,77.59827822
R5,Falahaar & Kota Kachori,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
R6,Salt - Indian Restaurant Bar & Grill,84,"UB City, Bangalore",12.97158655,77.5960585
R7,Sultan - Palace Darbar Restaurant,15900,"Nagawara, Bangalore",13.01911862,77.61870492
R8,Domino's Pizza,8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
R9,Pizza Hut,4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
R10,KFC,468,"Brigade Road, Bangalore",12.97325955,77.60750703
R11,Empire Restaurant,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
R12,Burger King,10500,"Commercial Street, Bangalore",12.98271712,77.60660548
R13,Meghana Foods,23500,"Residency Road, Bangalore",12.97310133,77.60923974
R14,Five Star Chicken,83,"Shivajinagar, Bangalore",12.98507028,77.60690671
R15,Kanti Sweets,2662,"Brigade Road, Bangalore",12.97046862,77.60667756
R16,Leon's Burgers & Wings,3582,"Frazer Town, Bangalore",12.99772551,77.61095837
R17,Onesta,56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
R18,Polar Bear,4850,"Basavanagudi, Bangalore",12.94951278,77.57463489
R19,Hari Super Sandwich,1504,"Brigade Road, Bangalore",12.97059853,77.60662767
R20,Al-Bek,34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
R21,La Pino'z Pizza,3582,"Basavanagudi, Bangalore",12.94674912,77.56933719
R22,A2B - Adyar Ananda Bhavan,801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
R23,Corner House Ice Creams,6149,"Residency Road, Bangalore",12.97367472,77.60932188
R24,Nandhana Palace,8481,"Indiranagar, Bangalore",12.96213054,77.64194693
R25,Thalassery Restaurant,9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
R26,CakeZone,2667,"Koramangala 6th Block, Bangalore",12.940404,77.625173
R27,Goli Vada Pav No. 1,1117,"Jayanagar, Bangalore",12.93933465,77.58401893
R28,Kabab Magic,45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
R29,Chicking,932,"Rajajinagar, Bangalore",12.9809325,77.5629622
R30,FreshMenu,19200,"Richmond Road, Bangalore",12.964423,77.60589
R31,EasyBites by Empire,721,"Brigade Road, Bangalore",12.96728502,77.60896213
R32,Amma's Pastries,552,"Ulsoor, Bangalore",12.98829817,77.61757337
R33,WOW! Momo,52,"Church Street, Bangalore",12.975141,77.603971
R34,Taco Bell,1732,"Garuda Mall, Magrath Road, Bangalore",12.9702177,77.61013225
R35,MOJO Pizza - 2X Toppings,390,"Shanti Nagar, Bangalore",12.961168,77.598239
R36,Wendy's Burgers,654,"Shanti Nagar, Bangalore",12.96188385,77.59433705
R37,WarmOven Cake & Desserts,841,"Vasanth Nagar, Bangalore",12.99221787,77.5942529
R38,Ovenstory Pizza,1122,"Shanti Nagar, Bangalore",12.96184465,77.59435482
R39,EatFit,2098,"Cunningham Road, Bangalore",12.986283,77.594839
R40,Big Bite,17700,"Vijay Nagar, Bangalore",12.96748498,77.53583372
R41,Subway,1210,"UB City, Bangalore",12.97180948,77.59619884
R42,Faasos - Wraps & Rolls,868,"Shanti Nagar, Bangalore",12.9618966,77.59435851
R43,Anand Sweets And Savouries,2267,"Commercial Street, Bangalore",12.98164454,77.60982279
R44,Mani's Dum Biryani,5017,"Ulsoor, Bangalore",12.97736333,77.61929199
R45,Nandhini Deluxe,2867,"St. Marks Road, Bangalore",12.97177485,77.60091349
R46,Sharief Bhai,8135,"Frazer Town, Bangalore",12.9968193,77.61404391
R47,NIC Ice Creams,2121,"Frazer Town, Bangalore",12.99938247,77.61199102
R48,Samosa Party,1026,"Brigade Road, Bangalore",12.96976388,77.60903087
R49,Kannur Food Point,51300,"BTM, Bangalore",12.93133766,77.60813367
R50,Imperial Restaurant,6016,"Residency Road, Bangalore",12.97134292,77.60578506
R51,Sri Udupi Food Hub,516,"Majestic, Bangalore",12.97813724,77.57977707
R52,Lassi Shop,45,"Residency Road, Bangalore",12.967382,77.599929
R53,Pizza@99,320,"Rajajinagar, Bangalore",12.9885796,77.548214
R54,Chai Point,1772,"Church Street, Bangalore",12.97458691,77.60661118
R55,Kannur Food Kitchen,20500,"BTM, Bangalore",12.9238006,77.611265
R56,Rolls On Wheels,1299,"Cunningham Road, Bangalore",12.98543464,77.59661995
R57,Beijing Bites,4146,"Richmond Road, Bangalore",12.96549815,77.60135472
R58,Kwalitywall's Frozen Dessert And Ice Cream Shop,378,"Wilson Garden, Bangalore",12.95082435,77.59557255
R59,Natural Ice Cream,1163,"St. Marks Road, Bangalore",12.97145564,77.60085046
R60,California Burrito,3937,"Sigma Mall, Cunningham Road, Bangalore",12.98795971,77.5945399
R61,Behrouz Biryani,501,"Shanti Nagar, Bangalore",12.96190215,77.59432264
R62,Meat And Eat,2431,"Domlur, Bangalore",12.96136456,77.6373611
R63,Paakashala,1489,"MG Road, Bangalore",12.97494238,77.60797475
R64,The Belgian Waffle Co.,716,"Seshadripuram, Bangalore",12.98893393,77.57782403
R65,Asha Sweet Center,13,"Vasanth Nagar, Bangalore",12.994556,77.5936044
R66,Andhra Gunpowder,561,"Seshadripuram, Bangalore",12.98681,77.579384
R67,Ambur Star Briyani Since 1890,6992,"Indiranagar, Bangalore",12.97737248,77.63647791
R68,Kolkata Kathi Rolls,13400,"JP Nagar, Bangalore",12.91392821,77.58600812
R69,Royal Restaurant,25400,"Shivajinagar, Bangalore",12.98572802,77.60525431
R70,Chinese Wok,415,"Malleshwaram, Bangalore",12.99177,77.5712
R71,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",837,"Brigade Road, Bangalore",12.972896,77.607299
R72,Glen's Bakehouse,5376,"Lavelle Road, Bangalore",12.96982922,77.59748127
R73,Theobroma,1734,"Lavelle Road, Bangalore",12.97119147,77.59769274
R74,Paradise Biryani,4370,"Rajajinagar, Bangalore",12.98494361,77.54584707
R75,Sri Udupi Park,7960,"Residency Road, Bangalore",12.97305363,77.60916095
R76,Krishna Vaibhava,21200,"Vijay Nagar, Bangalore",12.96740362,77.53578041
R77,Dindigul Thalappakatti,2559,"MG Road, Bangalore",12.97225382,77.61873141
R78,RNR Biryani - Taste Of 1953,1912,"Jayanagar, Bangalore",12.92866203,77.5825065
R79,Call Me Chow,11400,"Koramangala 8th Block, Bangalore",12.94404979,77.61733599
R80,Krispy Kreme,949,"Richmond Road, Bangalore",12.9669276,77.6115022
R81,Baskin Robbins,400,"Church Street, Bangalore",12.97521551,77.60392427
R82,Royal Biryani Kitchen,33300,"BTM, Bangalore",12.9240083,77.6126
R83,Pathaan Sir,26,"Wilson Garden, Bangalore",12.9450334,77.5907592
R84,Chaatimes,1383,"Brigade Road, Bangalore",12.97481039,77.60834724
R85,Donne Biryani House,2071,"BTM, Bangalore",12.91712687,77.60707654
R86,Kaati Zone Rolls and Wraps,365,"Vasanth Nagar, Bangalore",12.99221395,77.59427704
R87,Vijayalakshmi Veg,16300,"Frazer Town, Bangalore",13.00091788,77.61280071
R88,Cakewala,3833,"Jayanagar, Bangalore",12.92897737,77.5862056
R89,Madeena Hotel,25400,"Koramangala 5th Block, Bangalore",12.93521603,77.6157328
R90,Hari Super Sandwich,224,"Seshadripuram, Bangalore",12.988782,77.57753
R91,Moriz Nano Restaurant,1255,"Ulsoor, Bangalore",12.98757029,77.61894934
R92,Smoor,169,"Lavelle Road, Bangalore",12.97309398,77.60033591
R93,Chaayos Chai+Snacks=Relax,547,"Cunningham Road, Bangalore",12.9885099,77.5938782
R94,Al Ameen Rolls Corner,5047,"Kammanahalli, Bangalore",13.01576905,77.63941292
R95,Savi Sagar,20600,"Malleshwaram, Bangalore",12.99647268,77.5636794
R96,Shanmukha,56900,"JP Nagar, Bangalore",12.91768863,77.59253528
R97,Narmada Chain of Restaurants,467,"Frazer Town, Bangalore",13.0007846,77.61435941
R98,New Agarwal Bhavan,1408,"Sadashiv Nagar, Bangalore",13.00364729,77.57844161
R99,BOX8 - Desi Meals,769,"Shanti Nagar, Bangalore",12.961168,77.598239
R100,The Pizza Bakery,1198,"Church Street, Bangalore",12.975156,77.604557
R101,Starbucks Coffee,395,"Lavelle Road, Bangalore",12.97112173,77.59810556
R102,Karnataka Biryani Point,2938,"Rajajinagar, Bangalore",12.99155566,77.56373104
R103,Roti Ghar,22600,"Basavanagudi, Bangalore",12.9448214,77.5718216
R104,Sandwich Guru,845,"Basavanagudi, Bangalore",12.9469272,77.56781805
R105,Laddoos,4010,"Jeevan Bhima Nagar, Bangalore",12.967889,77.652837
R106,M.M.A Kabab and Rolls,5984,"Old Madras Road, Bangalore",12.98223719,77.63395462
R107,Chaat Street,2679,"Koramangala 4th Block, Bangalore",12.93519976,77.61347093
R108,The Bake Feast,730,"Indiranagar, Bangalore",12.972511,77.648788
R109,Kolkata Famous Kati Rolls,289,"Rajajinagar, Bangalore",12.993476,77.548878
R110,Bangarpet Chats,772,"Banashankari, Bangalore",12.94168635,77.56187595
R111,Biryani By Kilo,89,"Majestic, Bangalore",12.980989,77.563602
R112,Shree Mahalakshmi Sweets,821,"Basavanagudi, Bangalore",12.9594255,77.5626082
R113,Five Star New Ambur Biryani,15700,"BTM, Bangalore",12.91456285,77.60567274
R114,Zomoz - The Momo Company,991,"Indiranagar, Bangalore",12.978123,77.638278
R115,Razakhiya Hotel,8140,"HBR Layout, Bangalore",13.0265797,77.62266554
R116,Priyadarshini Grand,29500,"Basaveshwara Nagar, Bangalore",12.9901463,77.53776725
R117,Donne Biryani House,7879,"Malleshwaram, Bangalore",12.994757,77.571435
R118,Sangam Sweets,469,"Majestic, Bangalore",12.97693795,77.57801246
R119,New Shanthi Sagar,7408,"Rajajinagar, Bangalore",12.98603806,77.55447373
R120,Hyderabad Biryaani House,28600,"Old Airport Road, Bangalore",12.95947059,77.65609257
R121,Sai Prasadam,5949,"Vijay Nagar, Bangalore",12.96488815,77.53893569
R122,Rolls Kitchen,5275,"Rajajinagar, Bangalore",12.99751155,77.55008362
R123,Chetty's Corner,2350,"Seshadripuram, Bangalore",12.99252398,77.5783008
R124,Potful - Claypot Biryanis,2448,"Thippasandra, Bangalore",12.97220056,77.65281457
R125,Third Wave Coffee,285,"UB City, Bangalore",12.97135175,77.59591989
R126,Kolkata No. 1 Kati Rolls,1812,"Rajajinagar, Bangalore",12.99349131,77.5490037
R127,Madurai Idly Shop,3254,"Koramangala 7th Block, Bangalore",12.93609478,77.61474565
R128,Biggies Burger,1605,"Church Street, Bangalore",12.97543605,77.60325205
R129,Sagar Hotel,10700,"Rajajinagar, Bangalore",12.99672815,77.55417634
R130,Chowman,4254,"Indiranagar, Bangalore",12.978673,77.636602
R131,New Udupi Grand,927,"Koramangala 8th Block, Bangalore",12.94368121,77.60696221
R132,Biryani Trip - Destination Hyderabad,188,"Seshadripuram, Bangalore",12.98681,77.579384
R133,Savoury Restaurant,5858,"Frazer Town, Bangalore",12.99958665,77.61595398
R134,T’s 21 Spice Biryani,2124,"Indiranagar, Bangalore",12.967422,77.636655
R135,Pizza House,613,"RT Nagar, Bangalore",13.0230769,77.6102089
R136,Namaste,63,"Malleshwaram, Bangalore",12.995828,77.571495
R137,Just Bake,145,"Seshadripuram, Bangalore",12.98850726,77.57725105
R138,Chef Bakers,99,"Koramangala 7th Block, Bangalore",12.93598956,77.61497095
R139,Meghduth Biryanis,2242,"Jayanagar, Bangalore",12.93017206,77.58167937
R140,Sardarji Londonwaley,35800,"Koramangala 7th Block, Bangalore",12.93621961,77.61553992
R141,IDC Kitchen,3063,"Residency Road, Bangalore",12.96593989,77.59453185
R142,Punjabi Nawabi,27900,"Koramangala 7th Block, Bangalore",12.936308,77.615532
R143,Kabab King,6822,"Kumaraswamy Layout, Bangalore",12.9168721,77.5688401
R144,Arabian Shawarma,38,"Kammanahalli, Bangalore",13.0156603,77.6396949
R145,Szechuan Dragon,34300,"Banashankari, Bangalore",12.94016332,77.56424233
R146,Momoz,2039,"RT Nagar, Bangalore",13.0212899,77.58484874
R147,GOPIZZA,120,"Orion East, Banaswadi, Bangalore",13.0009569,77.6325712
R148,LunchBox - Meals and Thalis,219,"Shanti Nagar, Bangalore",12.96187503,77.59434946
R149,Donne Biryani Mane,895,"Koramangala 4th Block, Bangalore",12.93687673,77.62767591
R150,CTR Shri Sagar,31100,"Malleshwaram, Bangalore",12.99809109,77.56947231
R151,D - Zaprino,1645,"Rajajinagar, Bangalore",13.00196196,77.55835857
R152,Big Bowl Company,1541,"Hosur Road, Bangalore",12.93520923,77.60948238
