,Restaurant_id,name,urls,ratings,price for one,cuisine,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
0,R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250,Arabian,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
1,R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250, Biryani,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
2,R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250, North Indian,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
3,R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250, Chinese,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
4,R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250, Fast Food,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
5,R0,Le Arabia Restaurant,https://www.zomato.com/bangalore/le-arabia-restaurant-vijay-nagar-bangalore/order,3.5,250, Sichuan,1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
6,R1,Hotel Revoli Inn,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order,3.9,250,Chinese,1862,"Shanti Nagar, Bangalore",12.95597678,77.59207126
7,R1,Hotel Revoli Inn,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order,3.9,250, North Indian,1862,"Shanti Nagar, Bangalore",12.95597678,77.59207126
8,R1,Hotel Revoli Inn,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order,3.9,250, Mughlai,1862,"Shanti Nagar, Bangalore",12.95597678,77.59207126
9,R2,Bakingo,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order,4.2,250,Bakery,748,"Vasanth Nagar, Bangalore",12.9944153,77.5938201
10,R2,Bakingo,https://www.zomato.com/bangalore/bakingo-vasanth-nagar-bangalore/order,4.2,250, Desserts,748,"Vasanth Nagar, Bangalore",12.9944153,77.5938201
11,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250,Burger,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
12,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, American,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
13,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, Bakery,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
14,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, Italian,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
15,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, Oriental,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
16,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, Continental,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
17,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, Beverages,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
18,R3,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,4.3,250, Desserts,1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
19,R4,McDonald's,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,3.9,250,Burger,5809,"MG Road, Bangalore",12.97602152,77.59827822
20,R4,McDonald's,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,3.9,250, Fast Food,5809,"MG Road, Bangalore",12.97602152,77.59827822
21,R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250,North Indian,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
22,R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250, Rajasthani,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
23,R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250, Fast Food,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
24,R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250, Mithai,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
25,R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250, Beverages,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
26,R5,Falahaar & Kota Kachori,https://www.zomato.com/bangalore/falahaar-kota-kachori-koramangala-7th-block-bangalore/order,3.9,250, Desserts,80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
