Index,Restaurant_id,C,Name,Ratings,Price for one,Cuisines,Delivery_reviews_Count,Restaurant_address,Latitude,Longtitude
0,R0,Arabian,Le Arabia Restaurant,3.5,250,"Arabian, Biryani, North Indian, Chinese, Fast Food, Sichuan",1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
1,R1,Chinese,Hotel Revoli Inn,3.9,250,"Chinese, North Indian, Mughlai",1862,"Shanti Nagar, Bangalore",12.95597678,77.59207126
2,R2,Bakery,Bakingo,4.2,250,"Bakery, Desserts",748,"Vasanth Nagar, Bangalore",12.9944153,77.5938201
3,R3,Burger,Truffles,4.3,250,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
4,R4,Burger,McDonald's,3.9,250,"Burger, Fast Food",5809,"MG Road, Bangalore",12.97602152,77.59827822
5,R5,North Indian,Falahaar & Kota Kachori,3.9,250,"North Indian, Rajasthani, Fast Food, Mithai, Beverages, Desserts",80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
6,R6,North Indian,Salt - Indian Restaurant Bar & Grill,4.1,250,"North Indian, BBQ, Biryani, Mughlai, Seafood, Beverages, Desserts",84,"UB City, Bangalore",12.97158655,77.5960585
7,R7,North Indian,Sultan - Palace Darbar Restaurant,3.4,250,"North Indian, Chinese, Arabian, Mughlai",15900,"Nagawara, Bangalore",13.01911862,77.61870492
8,R8,Pizza,Domino's Pizza,3.9,250,"Pizza, Italian, Pasta, Fast Food, Desserts",8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
9,R9,Pizza,Pizza Hut,3.8,200,"Pizza, Fast Food, Desserts, Beverages",4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
10,R10,Burger,KFC,3.7,200,"Burger, Fast Food, Biryani, Desserts, Beverages",468,"Brigade Road, Bangalore",12.97325955,77.60750703
11,R11,North Indian,Empire Restaurant,4.1,200,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
12,R12,Burger,Burger King,4,200,"Burger, Fast Food, Desserts, Beverages",10500,"Commercial Street, Bangalore",12.98271712,77.60660548
13,R13,Biryani,Meghana Foods,4.3,200,"Biryani, Andhra, North Indian, Seafood",23500,"Residency Road, Bangalore",12.97310133,77.60923974
14,R14,Fast Food,Five Star Chicken,3.9,200,"Fast Food, Rolls, Burger",83,"Shivajinagar, Bangalore",12.98507028,77.60690671
15,R15,Mithai,Kanti Sweets,4.5,200,"Mithai, Desserts, Street Food",2662,"Brigade Road, Bangalore",12.97046862,77.60667756
16,R16,Burger,Leon's Burgers & Wings,4.2,200,"Burger, Fast Food, Wraps, Street Food, Beverages",3582,"Frazer Town, Bangalore",12.99772551,77.61095837
17,R17,Pizza,Onesta,4,200,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
18,R18,Ice Cream,Polar Bear,4.4,200,"Ice Cream, Beverages, Shake",4850,"Basavanagudi, Bangalore",12.94951278,77.57463489
19,R19,Fast Food,Hari Super Sandwich,3.7,200,"Fast Food, Sandwich, Street Food",1504,"Brigade Road, Bangalore",12.97059853,77.60662767
20,R20,Mughlai,Al-Bek,4.1,200,"Mughlai, Arabian, North Indian, Chinese, Seafood",34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
21,R21,Pizza,La Pino'z Pizza,3.8,200,"Pizza, Italian",3582,"Basavanagudi, Bangalore",12.94674912,77.56933719
